,Quote,Genre,Category
0,"“To the well-organized mind, death is but the next great adventure.”","death,dumbledore,harry,inspirational,philosophers-stone,ron,sorcerers-stone",Death
1,“I'm not afraid of death; I just don't want to be there when it happens.”,"death,fear,humor,life",Death
2,"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”","death,love",Death
3,"“I wish it need not have happened in my time,"" said Frodo.""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”","adventuring,death,time",Death
4,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","death,life",Death
5,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"death,life",Death
6,"“Death ends a life, not a relationship.”","death,life",Death
7,"“Death's got an Invisibility Cloak?"" Harry interrupted again.""So he can sneak up on people,"" said Ron. ""Sometimes he gets bored of running at them, flapping his arms and shrieking...”","death,humor,sarcasm",Death
8,"“I DON'T CARE!"" Harry yelled at them, snatching up a lunascope and throwing it into the fireplace. ""I'VE HAD ENOUGH, I'VE SEEN ENOUGH, I WANT OUT, I WANT IT TO END, I DON'T CARE ANYMORE!""""You do care,"" said Dumbledore. He had not flinched or made a single move to stop Harry demolishing his office. His expression was calm, almost detached. ""You care so much you feel as though you will bleed to death with the pain of it.”","ache,death,dumbledore,harry-potter,hurt,life,pain",Death
9,"“It is a curious thing, the death of a loved one. We all know that our time in this world is limited, and that eventually all of us will end up underneath some sheet, never to wake up. And yet it is always a surprise when it happens to someone we know. It is like walking up the stairs to your bedroom in the dark, and thinking there is one more stair than there is. Your foot falls down, through the air, and there is a sickly moment of dark surprise as you try and readjust the way you thought of things.”",death,Death
10,“A thing is not necessarily true because a man dies for it.”,"belief,death,ideals,martyr,truth",Death
11,"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”","death,humor,life",Death
12,“I don't want to die without any scars.”,"death,scars,tyler-durden",Death
13,"“I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.”","death,inspirational",Death
14,"“When he shall die,Take him and cut him out in little stars,And he will make the face of heaven so fineThat all the world will be in love with nightAnd pay no worship to the garish sun.”","death,light,stars",Death
15,"“My dear,Find what you love and let it kill you.Let it drain you of your all. Let it cling onto your back and weigh you down into eventual nothingness.Let it kill you and let it devour your remains.For all things will kill you, both slowly and fastly, but it’s much better to be killed by a lover.~ Falsely yours”","death,love",Death
16,"“It kills me sometimes, how people die.”",death,Death
17,“Unbeing dead isn't being alive.”,"death,life,poetry",Death
18,"“Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!”","adventure,death,life",Death
19,“Life is for the living.Death is for the dead.Let life be like music. And death a note unsaid.”,"death,life,music",Death
20,"“You'll stay with me?'Until the very end,' said James.”","death,final,goodbye,harry-potter,lupin,parents,sirius",Death
21,“I go to seek a Great Perhaps.”,"death,french-renaissance-writer,john-green,last-words,life,looking-for-alaska,meaning-of-life,miles-halter",Death
22,"“Things we lose have a way of coming back to us in the end, if not always in the way we expect.”","death,love",Death
23,"“That was the thing. You never got used to it, the idea of someone being gone. Just when you think it's reconciled, accepted, someone points it out to you, and it just hits you all over again, that shocking.”","death,life",Death
24,"“If you gave someone your heart and they died, did they take it with them? Did you spend the rest of forever with a hole inside you that couldn't be filled?”","death,heart,love",Death
25,"“We are all alone, born alone, die alone, and—in spite of True Romance magazines—we shall all someday look back on our lives and see that, in spite of our company, we were alone the whole way. I do not say lonely—at least, not all the time—but essentially, and finally, alone. This is what makes your self-respect so important, and I don't see how you can respect yourself if you must look in the hearts and minds of others for your happiness.”","alone,birth,death,growing-up,growth,life,lonely,love,self-respect",Death
26,“Even death has a heart.”,"death,life",Death
27,"“Don't feel bad, I'm usually about to die.”","death,greek,humor,mythology,percy-jackson,sorry",Death
28,"“When people don't express themselves, they die one piece at a time.”","death,inspirational,voice",Death
29,"“To be, or not to be: that is the question:Whether 'tis nobler in the mind to sufferThe slings and arrows of outrageous fortune,Or to take arms against a sea of troubles,And by opposing end them? To die: to sleep;No more; and by a sleep to say we endThe heart-ache and the thousand natural shocksThat flesh is heir to, 'tis a consummationDevoutly to be wish'd. To die, to sleep;To sleep: perchance to dream: ay, there's the rub;For in that sleep of death what dreams may comeWhen we have shuffled off this mortal coil,Must give us pause: there's the respectThat makes calamity of so long life;For who would bear the whips and scorns of time,The oppressor's wrong, the proud man's contumely,The pangs of despised love, the law's delay,The insolence of office and the spurnsThat patient merit of the unworthy takes,When he himself might his quietus makeWith a bare bodkin? who would fardels bear,To grunt and sweat under a weary life,But that the dread of something after death,The undiscover'd country from whose bournNo traveller returns, puzzles the willAnd makes us rather bear those ills we haveThan fly to others that we know not of?Thus conscience does make cowards of us all;And thus the native hue of resolutionIs sicklied o'er with the pale cast of thought,And enterprises of great pith and momentWith this regard their currents turn awry,And lose the name of action.--Soft you now!The fair Ophelia! Nymph, in thy orisonsBe all my sins remember'd!”","death,existence,life",Death
30,"“I meant,"" said Ipslore bitterly, ""what is there in this world that truly makes living worthwhile?""Death thought about it.CATS, he said eventually. CATS ARE NICE.”","cats,death,life",Death
31,“Older men declare war. But it is youth that must fight and die.”,"age,death,fighting,old-age,war,youth",Death
32,"“DON'T THINK OF IT AS DYING, said Death. JUST THINK OF IT AS LEAVING EARLY TO AVOID THE RUSH.”","death,humor",Death
33,"“If you have a sister and she dies, do you stop saying you have one? Or are you always a sister, even when the other half of the equation is gone?”","death,loss,sisters",Death
34,"“I could die for you. But I couldn't, and wouldn't, live for you.”","death,die,fountainhead,life,live,mortality",Death
35,“The last enemy that shall be destroyed is death.”,"bible,death,enemy",Death
36,“You only live twice:Once when you are bornAnd once when you look death in the face”,"death,haiku,james-bond,philosophy,poetry",Death
37,“If death meant just leaving the stage long enough to change costume and come back as a new character...Would you slow down? Or speed up?”,death,Death
38,“A small but noteworthy note. I've seen so many young men over the years who think they're running at other young men. They are not. They are running at me.”,"death,war",Death
39,"“When he died, all things soft and beautiful and bright would be buried with him.”","death,death-of-a-loved-one,love",Death
40,“there is a place in the heart thatwill never be filleda spaceand even during thebest momentsandthe greatest timestimeswe will know itwe will know itmore thaneverthere is a place in the heart thatwill never be filledandwe will waitandwaitin that space.”,"death,inspirational",Death
41,“It is nothing to die. It is frightful not to live.”,"death,living-life",Death
42,"“A girl calls and asks, ""Does it hurt very much to die?""""Well, sweetheart,"" I tell her, ""yes, but it hurts a lot more to keep living.”","death,living",Death
43,"“Stop fighting me!"" he said, trying to pull on the arm he held.He was in a precarious position himself, straddling the rail as he tried to lean over far enough to get me and actually hold onto me.“Let go of me!” I yelled back.But he was too strong and managed to haul most of me over the rail, enough so that I wasn’t in total danger of falling again.See, here’s the thing. In that moment before I let go, I really had been contemplating my death. I’d come to terms with it and accepted it. I also, however, had known Dimitri might do something exactly like this. He was just that fast and that good. That was why I was holding my stake in the hand that was dangling free.I looked him in the eye. ""I will always love you.""Then I plunged the stake into his chest.It wasn’t as precise a blow as I would have liked, not with the skilled way he was dodging. I struggled to get the stake in deep enough to his heart, unsure if I could do it from this angle. Then, his struggles stopped. His eyes stared at me, stunned, and his lips parted, almost into a smile, albeit a grisly and pained one.""That’s what I was supposed to say. . .” he gasped out.Those were his last words.”","blood,bridge,death,dhampir,dimitri,love,magic,promise,rose,stake,strigoi",Death
44,"“Death is so terribly final, while life is full of possibilities.”","death,life",Death
45,"“When someone you love dies, and you're not expecting it, you don't lose her all at once; you lose her in pieces over a long time—the way the mail stops coming, and her scent fades from the pillows and even from the clothes in her closet and drawers. Gradually, you accumulate the parts of her that are gone. Just when the day comes—when there's a particular missing part that overwhelms you with the feeling that she's gone, forever—there comes another day, and another specifically missing part.”","death,grief,loss",Death
46,"“Each night, when I go to sleep, I die. And the next morning, when I wake up, I am reborn.”","day,death,night,rebirth,reincarnation,sleep",Death
47,"“Sleep, those little slices of death — how I loathe them.”","death,sleep",Death
48,"“I found myself thinking about President William McKinley, the third American president to be assassinated. He lived for several days after he was shot, and towards the end, his wife started crying and screaming, ""I want to go too! I want to go too!"" And with his last measure of strength, McKinley turned to her and spoke his last words: ""We are all going.”","death,last-words",Death
49,"“Death is Peaceful, Life is Harder”","bella,death,life",Death
50,"“Does it hurt?"" The childish question had escaped Harry's lips before he could stop it. ""Dying? Not at all,"" said Sirius. ""Quicker and easier than falling asleep.”",death,Death
51,"“And what would humans be without love?""RARE, said Death.”","death,love",Death
52,“لا أخاف الموت ..أخاف أن أموت قبل أن أحيا”,"death,life",Death
53,"“Love is how you stay alive, even after you are gone.”","death,immortality,love",Death
54,"“Death is not the opposite of life, but a part of it.”","death,life",Death
55,“Life is pleasant. Death is peaceful. It's the transition that's troublesome.”,"comment,death,death-and-dying,funny,life,transition",Death
