,Quote,Genre,Category
0,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun",Faith
1,"“All the world is made of faith, and trust, and pixie dust.”","faith,life,pixie-dust,trust",Faith
2,"“I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?”","beatles,dragons,dreamers,dreaming,dreams,fairies,faith,mythology,nightmares,reality,truth",Faith
3,“Faithless is he that says farewell when the road darkens.”,faith,Faith
4,"“I think if I've learned anything about friendship, it's to hang in, stay connected, fight for them, and let them fight for you. Don't walk away, don't be distracted, don't be too busy or tired, don't take them for granted. Friends are part of the glue that holds life and faith together. Powerful stuff.”","faith,friends,friendship,love",Faith
5,“I have great faith in fools - self-confidence my friends will call it.”,"faith,fool,humor,self-confidence,self-irony",Faith
6,"“If he’s not calling you, it’s because you are not on his mind. If he creates expectations for you, and then doesn’t follow through on little things, he will do same for big things. Be aware of this and realize that he’s okay with disappointing you. Don’t be with someone who doesn’t do what they say they’re going to do. If he’s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesn’t respect your feelings and needs. “Busy” is another word for “asshole.” “Asshole” is another word for the guy you’re dating. You deserve a fcking phone call.”","busy,call,dating,dating-advice,faith,greg-behrendt,guys,he-s-not-just-into-you,love,marriage,romance,true",Faith
7,"“And now these three remain: faith, hope and love. But the greatest of these is love.”","faith,god,hope,love",Faith
8,"“God will not look you over for medals, degrees or diplomas but for scars.”","faith,god,wisdom",Faith
9,“Keep GoingYour hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.”,"adversity,authentic-living,being-positive,faith,inspiration,inspirational,inspirational-quotes,life,life-and-living,life-quotes,motivation,never-give-up,optimism,optimistic,persistence,positive,positive-affirmation,positive-life,positive-thinking",Faith
10,"“And still, after all this time,The sun never says to the earth,""You owe Me.""Look what happens withA love like that,It lights the Whole Sky.”","faith,inspiration",Faith
11,"“The function of prayer is not to influence God, but rather to change the nature of the one who prays.”","faith,god,prayer",Faith
12,“Never be afraid to trust an unknown future to a known God.”,"faith,future,god,trust",Faith
13,"“I am trying here to prevent anyone saying the really foolish thing that people often say about Him: I’m ready to accept Jesus as a great moral teacher, but I don’t accept his claim to be God. That is the one thing we must not say. A man who was merely a man and said the sort of things Jesus said would not be a great moral teacher. He would either be a lunatic — on the level with the man who says he is a poached egg — or else he would be the Devil of Hell. You must make your choice. Either this man was, and is, the Son of God, or else a madman or something worse. You can shut him up for a fool, you can spit at him and kill him as a demon or you can fall at his feet and call him Lord and God, but let us not come with any patronizing nonsense about his being a great human teacher. He has not left that open to us. He did not intend to.”","faith,god,jesus",Faith
14,"“I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.”","belief,direction,faith,flight,flying,flying-spirit,hope,inspirational,inspirational-life,inspirational-quotes,life,life-and-living,living,trust,uplifting,winds,winds-of-life,wings",Faith
15,“Do not be afraid; our fateCannot be taken from us; it is a gift.”,"faith,fate,fear",Faith
16,“Faith is not the belief that God will do what you want. It is the belief that God will do what is right.”,faith,Faith
17,"“Sometimes beautiful things come into our lives out of nowhere. We can't always understand them, but we have to trust in them. I know you want to question everything, but sometimes it pays to just have a little faith.”","beautiful,faith",Faith
18,"“You must not lose faith in humanity. Humanity is like an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.”","faith,humanity,ocean",Faith
19,"“Therefore, dear Sir, love your solitude and try to sing out with the pain it causes you. For those who are near you are far away... and this shows that the space around you is beginning to grow vast.... be happy about your growth, in which of course you can't take anyone with you, and be gentle with those who stay behind; be confident and calm in front of them and don't torment them with your doubts and don't frighten them with your faith or joy, which they wouldn't be able to comprehend. Seek out some simple and true feeling of what you have in common with them, which doesn't necessarily have to alter when you yourself change again and again; when you see them, love life in a form that is not your own and be indulgent toward those who are growing old, who are afraid of the aloneness that you trust.... and don't expect any understanding; but believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it.”","aloneness,change,common-ground,faith,love,loved-ones,relationships,solitude",Faith
20,“All I have seen teaches me to trust the Creator for all I have not seen.”,"belief,experience,faith,judging-from-experience,religion,unseen",Faith
21,"“None of us knows what might happen even the next minute, yet still we go forward. Because we trust. Because we have faith.”","faith,trust",Faith
22,"“I'm about to make a wild, extreme and severe relationship rule: the word busy is a load of crap and is most often used by assholes. The word ""busy"" is the relationship Weapon of Mass Destruction. It seems like a good excuse, but in fact in every silo you uncover, all you're going to find is a man who didn't care enough to call. Remember men are never to busy to get what they want.”","behrendt,call,dating,faith,greg,he-s-not-just-into-you,love,marriage,romance,true,true-love,truth",Faith
23,“I talk to God but the sky is empty.”,"doubt,faith,god,prayer",Faith
24,“Be Brave and Take Risks: You need to have faith in yourself. Be brave and take risks. You don't have to have it all figured out to move forward.”,"authentic-living,being-positive,brave,courage,faith,inspiration,inspirational,inspirational-quotes,life,life-quotes,motivation,moving-forward,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,start-up",Faith
25,"“No matter how old you are now. You are never too young or too old for success or going after what you want. Here’s a short list of people who accomplished great things at different ages1) Helen Keller, at the age of 19 months, became deaf and blind. But that didn’t stop her. She was the first deaf and blind person to earn a Bachelor of Arts degree.2) Mozart was already competent on keyboard and violin; he composed from the age of 5.3) Shirley Temple was 6 when she became a movie star on “Bright Eyes.”4) Anne Frank was 12 when she wrote the diary of Anne Frank.5) Magnus Carlsen became a chess Grandmaster at the age of 13.6) Nadia Comăneci was a gymnast from Romania that scored seven perfect 10.0 and won three gold medals at the Olympics at age 14.7) Tenzin Gyatso was formally recognized as the 14th Dalai Lama in November 1950, at the age of 15.8) Pele, a soccer superstar, was 17 years old when he won the world cup in 1958 with Brazil.9) Elvis was a superstar by age 19.10) John Lennon was 20 years and Paul Mcartney was 18 when the Beatles had their first concert in 1961.11) Jesse Owens was 22 when he won 4 gold medals in Berlin 1936.12) Beethoven was a piano virtuoso by age 2313) Issac Newton wrote Philosophiæ Naturalis Principia Mathematica at age 2414) Roger Bannister was 25 when he broke the 4 minute mile record15) Albert Einstein was 26 when he wrote the theory of relativity16) Lance E. Armstrong was 27 when he won the tour de France 17) Michelangelo created two of the greatest sculptures “David” and “Pieta” by age 2818) Alexander the Great, by age 29, had created one of the largest empires of the ancient world19) J.K. Rowling was 30 years old when she finished the first manuscript of Harry Potter20) Amelia Earhart was 31 years old when she became the first woman to fly solo across the Atlantic Ocean21) Oprah was 32 when she started her talk show, which has become the highest-rated program of its kind22) Edmund Hillary was 33 when he became the first man to reach Mount Everest23) Martin Luther King Jr. was 34 when he wrote the speech “I Have a Dream.""24) Marie Curie was 35 years old when she got nominated for a Nobel Prize in Physics 25) The Wright brothers, Orville (32) and Wilbur (36) invented and built the world's first successful airplane and making the first controlled, powered and sustained heavier-than-air human flight26) Vincent Van Gogh was 37 when he died virtually unknown, yet his paintings today are worth millions.27) Neil Armstrong was 38 when he became the first man to set foot on the moon.28) Mark Twain was 40 when he wrote ""The Adventures of Tom Sawyer"", and 49 years old when he wrote ""Adventures of Huckleberry Finn""29) Christopher Columbus was 41 when he discovered the Americas30) Rosa Parks was 42 when she refused to obey the bus driver’s order to give up her seat to make room for a white passenger31) John F. Kennedy was 43 years old when he became President of the United States32) Henry Ford Was 45 when the Ford T came out.33) Suzanne Collins was 46 when she wrote ""The Hunger Games""34) Charles Darwin was 50 years old when his book On the Origin of Species came out.35) Leonardo Da Vinci was 51 years old when he painted the Mona Lisa.36) Abraham Lincoln was 52 when he became president.37) Ray Kroc Was 53 when he bought the McDonalds Franchise and took it to unprecedented levels.38) Dr. Seuss was 54 when he wrote ""The Cat in the Hat"".40) Chesley ""Sully"" Sullenberger III was 57 years old when he successfully ditched US Airways Flight 1549 in the Hudson River in 2009. All of the 155 passengers aboard the aircraft survived41) Colonel Harland Sanders was 61 when he started the KFC Franchise42) J.R.R Tolkien was 62 when the Lord of the Ring books came out43) Ronald Reagan was 69 when he became President of the US44) Jack Lalane at age 70 handcuffed, shackled, towed 70 rowboats45) Nelson Mandela was 76 when he became President”","age,confidence,discipline,effort,excuses,failure,faith,isnpiration,love,motivation,olympics,opportunities,opportunity,president,success",Faith
26,"“A star falls from the sky and into your hands. Then it seeps through your veins and swims inside your blood and becomes every part of you. And then you have to put it back into the sky. And it's the most painful thing you'll ever have to do and that you've ever done. But what's yours is yours. Whether it’s up in the sky or here in your hands. And one day, it'll fall from the sky and hit you in the head real hard and that time, you won't have to put it back in the sky again.”","cherishing,faith,heartwarming,hope,inspirational,learning,letting-go,life,life-and-learning,life-and-living,life-lessons,stars,treasure",Faith
27,“Sometimes God allows what he hates to accomplish what he loves.”,"faith,god,inspirational,love",Faith
28,"“Death is no more than passing from one room into another. But there's a difference for me, you know. Because in that other room I shall be able to see.”","blindness,death,faith,inspirational,wisdom",Faith
29,"“The reason birds can fly and we can't is simply because they have perfect faith, for to have faith is to have wings.”","birds,faith,flying,inspirational,profound,wings",Faith
30,"“I know now, Lord, why you utter no answer. You are yourself the answer. Before your face questions die away. What other answer would suffice?”","faith,unfathomable",Faith
31,"“I am fundamentally an optimist. Whether that comes from nature or nurture, I cannot say. Part of being optimistic is keeping one's head pointed toward the sun, one's feet moving forward. There were many dark moments when my faith in humanity was sorely tested, but I would not and could not give myself up to despair. That way lays defeat and death.”","faith,hope,optimism",Faith
32,“A casual stroll through the lunatic asylum shows that faith does not prove anything.”,"belief,delusions,faith,insanity",Faith
33,"“Believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it.”","faith,love,strength",Faith
34,"“To have Faith in Christ means, of course, trying to do all that He says. There would be no sense in saying you trusted a person if you would not take his advice. Thus if you have really handed yourself over to Him, it must follow that you are trying to obey Him. But trying in a new way, a less worried way. Not doing these things in order to be saved, but because He has begun to save you already. Not hoping to get to Heaven as a reward for your actions, but inevitably wanting to act in a certain way because a first faint gleam of Heaven is already inside you.”","benevolence,christianity,faith,obedience",Faith
35,"“Believe something and the Universe is on its way to being changed. Because you've changed, by believing. Once you've changed, other things start to follow. Isn't that the way it works?”","belief,change,faith,life,magic,universe",Faith
36,“Extraordinary claims require extraordinary evidence.”,"evidence,faith,science,skepticism",Faith
37,"“There's so much to be grateful for, words are poor things.”","faith,inspirational",Faith
38,"“Patience Is Not the Ability to Wait: Patience is not the ability to wait. Patience is to be calm no matter what happens, constantly take action to turn it to positive growth opportunities, and have faith to believe that it will all work out in the end while you are waiting.”","calm,faith,growth,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,opportunity,optimism,optimistic,patience,positive,positive-affirmation,positive-life,positive-thinking",Faith
39,"“What was love, really? Flowers, chocolate, and poetry? Or was it something else? Was it being able to finish someone's jokes? Was it having absolute faith that someone was there at your back? Was it knowing someone so well that they instantly understood why you did the things you did—and shared those same beliefs?”","faith,love",Faith
40,“Doubt everything. Find your own light.”,"beliefs,doubt,faith",Faith
41,"“In this hour, I do not believe that any darkness will endure.”","cheerfulness,faith,faramir,optimism",Faith
42,"“Over the years, I have come to realize that the greatest trap in our life is not success, popularity, or power, but self-rejection. Success, popularity, and power can indeed present a great temptation, but their seductive quality often comes from the way they are part of the much larger temptation to self-rejection. When we have come to believe in the voices that call us worthless and unlovable, then success, popularity, and power are easily perceived as attractive solutions. The real trap, however, is self-rejection. As soon as someone accuses me or criticizes me, as soon as I am rejected, left alone, or abandoned, I find myself thinking, ""Well, that proves once again that I am a nobody."" ... [My dark side says,] I am no good... I deserve to be pushed aside, forgotten, rejected, and abandoned. Self-rejection is the greatest enemy of the spiritual life because it contradicts the sacred voice that calls us the ""Beloved."" Being the Beloved constitutes the core truth of our existence.”","beloved,christianity,faith,feelings,identity,rejection,self,spiritual-life,spiritual-warfare,success,temptation,truth",Faith
43,"“This is what the past is for! Every experience God gives us, every person He puts in our lives is the perfect preparation for the future that only He can see.”","faith,inspirtational",Faith
44,“To love means loving the unlovable. To forgive means pardoning the unpardonable. Faith means believing the unbelievable. Hope means hoping when everything seems hopeless.”,"faith,forgiveness,hope,inspirational,love",Faith
45,“I dont think that we're meant to understand it all the time. I think that sometimes we just have to have faith.”,"faith,understand",Faith
46,"“Now very much against her will, she thought of the way Jace had looked at her then, the blaze of faith in his eyes, his belief in her. He had always thought she was strong. He had showed it in everything he did, in every look and every touch. Simon had faith in her too, yet when he'd held her, it had been as if she were something fragile, something made of delicate glass. But Jace had held her with all the strength he had, never wondering if she could take it--he'd known she was as strong has he was.”","clary-fray,faith,jace-wayland,love,strength",Faith
47,"“You can never really know someone completely. That’s why it’s the most terrifying thing in the world, really—taking someone on faith, hoping they’ll take you on faith too. It’s such a precarious balance, It’s a wonder we do it at all. And yet..”","faith,people",Faith
48,"“There comes a time in your life when you have to choose to turn the page, write another book or simply close it.”","beliefs,books,boyfriend,choices,faith,family,friendships,girlfriend,hang-ups,in-love,life,love,marriage,memories,moving-on,nostalgia,obsessions,peace,relationships,religion,sister-in-laws,sisters,spouse,unrequited-love,wife,writing",Faith
49,"“You do not need to know precisely what is happening, or exactly where it is all going. What you need is to recognize the possibilities and challenges offered by the present moment, and to embrace them with courage, faith and hope.”","courage,faith,hope,possibility",Faith
50,“belief is the death of intelligence.”,"atheism,belief,faith,intelligence,metaphysics,philosophy,religion",Faith
51,"“To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float.”","faith,freedom,trust",Faith
52,“I have been driven many times upon my knees by the overwhelming conviction that I had no where else to go. My own wisdom and that of all about me seemed insufficient for that day.”,"faith,humility,prayer,surrender",Faith
53,“Follow your bliss and the universe will open doors for you where there were only walls.”,"action,belief,faith,follow-your-bliss,life",Faith
54,"“Your children are the greatest gift God will give to you, and their souls the heaviest responsibility He will place in your hands. Take time with them, teach them to have faith in God. Be a person in whom they can have faith. When you are old, nothing else you've done will have mattered as much.”","children,faith,family,parenting",Faith
55,"“Are you upset little friend? Have you been lying awake worrying? Well, don't worry...I'm here. The flood waters will recede, the famine will end, the sun will shine tomorrow, and I will always be here to take care of you.”","faith,friendship,loneliness,love",Faith
56,"“According to Vedanta, there are only two symptoms of enlightenment, just two indications that a transformation is taking place within you toward a higher consciousness. The first symptom is that you stop worrying. Things don't bother you anymore. You become light-hearted and full of joy. The second symptom is that you encounter more and more meaningful coincidences in your life, more and more synchronicities. And this accelerates to the point where you actually experience the miraculous. (quoted by Carol Lynn Pearson in Consider the Butterfly)”","enlightenment,faith,joy,miracles,synchronicity,trust,worry",Faith
57,"“Why must people kneel down to pray? If I really wanted to pray I’ll tell you what I'd do. I'd go out into a great big field all alone or in the deep, deep woods and I'd look up into the sky—up—up—up—into that lovely blue sky that looks as if there was no end to its blueness. And then I'd just feel a prayer.”","anne-of-green-gables,faith,inspiration,prayer",Faith
58,"“Whether or not you believe in God, you must believe this: when we as a species abandon our trust in a power greater than us, we abandon our sense of accountability. Faiths… all faiths… are admonitions that there is something we cannot understand, something to which we are accountable. With faith we are accountable to each other, to ourselves, and to a higher truth. Religion is flawed, but only because man is flawed. The church consists of a brotherhood of imperfect, simple souls wanting only to be a voice of compassion in a world spinning out of control.”","faith,god,religion,science",Faith
59,"“Well, it's true that I have been hurt in my life. Quite a bit. But it's also true that I have loved, and been loved. and that carries a weight of its own. A greater weight, in my opinion. It's like that pie chart we talked about earlier. in the end, I'll look back on my life and see that the greatest piece of it was love. The problems, the divorces, the sadness... those will be there too, but just smaller slivers, tiny pieces.”","being-loved,faith,love,meaningful,regret",Faith
60,"“To be rejected by someone doesn't mean you should also reject yourself or that you should think of yourself as a lesser person. It doesn't mean that nobody will ever love you anymore. Remember that only ONE person has rejected you at the moment, and it only hurt so much because to you, that person's opinion symbolized the opinion of the whole world, of God.”","breakup,broken,broken-heart,broken-hearted,broken-hearted-quotes,dating,faith,healing,heartache,heartbreak,heartbroken,hope,hurt,hurt-feelings,hurting,hurting-heart,inspirational,life,life-lessons,love,romance",Faith
61,"“Faith is about doing. You are how you act, not just how you believe.”","action,belief,faith",Faith
62,“Some things have to be believed to be seen.”,"belief,faith",Faith
63,"“You picked a lemon, throw it away lemonade is overrated. Freaks should remain at the circus, not in your apartment. You already have one asshole. You don’t need another. Make a space in your life for the glorious things you deserve. Have faith.”","busy,call,dating,dating-advice,faith,guys,love,romance",Faith
64,"“There are times when solitude is better than society, and silence is wiser than speech. We should be better Christians if we were more alone, waiting upon God, and gathering through meditation on His Word spiritual strength for labour in his service. We ought to muse upon the things of God, because we thus get the real nutriment out of them. . . . Why is it that some Christians, although they hear many sermons, make but slow advances in the divine life? Because they neglect their closets, and do not thoughtfully meditate on God's Word. They love the wheat, but they do not grind it; they would have the corn, but they will not go forth into the fields to gather it; the fruit hangs upon the tree, but they will not pluck it; the water flows at their feet, but they will not stoop to drink it. From such folly deliver us, O Lord. . . .”","bible,christian,faith,inspirational",Faith
65,“Love meant jumping off a cliff and trusting that a certain person would be there to catch you at the bottom.”,"faith,love,trust",Faith
66,“The Simple PathSilence is PrayerPrayer is FaithFaith is LoveLove is ServiceThe Fruit of Service is Peace”,"faith,love,mother,path,peace,prayer,service,simple,teresa",Faith
67,"“If you have a dream, don’t just sit there. Gather courage to believe that you can succeed and leave no stone unturned to make it a reality.”","attitude,authors,books,coaching,connect,counseling,courage,dare,daring,determination,dreams,faith,famous,goals,hope,idea,inspiration,inspire,judge,leadership,life,motivation,motivator,never-give-up,passion,positive-thinking,promo,publishing,quotes,self-confidence,self-esteem,success,successful,triumph,victory,willpower,wisdom,words,you-can-do-it",Faith
68,"“We are saved by faith alone, but the faith that saves is never alone.”","christianity,faith,inspirational,religion",Faith
69,"“No, I would not want to live in a world without dragons, as I would not want to live in a world without magic, for that is a world without mystery, and that is a world without faith.”","dragon,faith,magic,mystery,world",Faith
