,Quote,Genre,Category
0,"“If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.”","god,world",God
1,"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”","god,humor,life",God
2,"“The Christian does not think God will love us because we are good, but that God will make us good because He loves us.”","christianity,god,religion",God
3,"“When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, ""Why god? Why me?"" and the thundering voice of God answered, There's just something about you that pisses me off.”","god,humor,religion",God
4,“Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.”,"god,heart,humanity,inspirational,prayer,religion,souls,weakness",God
5,"“I think God, in creating man, somewhat overestimated his ability.”","creation,god,humor,man",God
6,“To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.”,"christianity,forgiveness,god",God
7,"“And now these three remain: faith, hope and love. But the greatest of these is love.”","faith,god,hope,love",God
8,“God has no religion.”,"god,religion",God
9,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,god,God
10,"“God will not look you over for medals, degrees or diplomas but for scars.”","faith,god,wisdom",God
11,“The most wasted of all days is one without laughter.”,"god,joy,life,spirituality",God
12,"“The darker the night, the brighter the stars,  The deeper the grief, the closer is God!”","god,grief,night",God
13,“A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word 'darkness' on the walls of his cell.”,"god,religion",God
14,"“If I should ever die, God forbid, let this be my epitaph:THE ONLY PROOF HE NEEDEDFOR THE EXISTENCE OF GODWAS MUSIC”","blues,god,life,music",God
15,"“The function of prayer is not to influence God, but rather to change the nature of the one who prays.”","faith,god,prayer",God
16,“Never be afraid to trust an unknown future to a known God.”,"faith,future,god,trust",God
17,"“I am trying here to prevent anyone saying the really foolish thing that people often say about Him: I’m ready to accept Jesus as a great moral teacher, but I don’t accept his claim to be God. That is the one thing we must not say. A man who was merely a man and said the sort of things Jesus said would not be a great moral teacher. He would either be a lunatic — on the level with the man who says he is a poached egg — or else he would be the Devil of Hell. You must make your choice. Either this man was, and is, the Son of God, or else a madman or something worse. You can shut him up for a fool, you can spit at him and kill him as a demon or you can fall at his feet and call him Lord and God, but let us not come with any patronizing nonsense about his being a great human teacher. He has not left that open to us. He did not intend to.”","faith,god,jesus",God
18,"“Pain insists upon being attended to. God whispers to us in our pleasures, speaks in our consciences, but shouts in our pains. It is his megaphone to rouse a deaf world.”","god,pain",God
19,"“If you want to know what God thinks of money, just look at the people he gave it to.”","god,humor,money",God
20,"“Owners of dogs will have noticed that, if you provide them with food and water and shelter and affection, they will think you are god. Whereas owners of cats are compelled to realize that, if you provide them with food and water and shelter and affection, they draw the conclusion that they are gods.”","affection,atheism,cats,dogs,food,god,pets,religion,shelter,water",God
21,"“Sometimes the Bible in the hand of one man is worse than a whisky bottle in the hand of (another)... There are just some kind of men who - who're so busy worrying about the next world they've never learned to live in this one, and you can look down the street and see the results.”","bible,god,hatred,judgement,religion",God
22,"“Let the first act of every morning be to make the following resolve for the day:- I shall not fear anyone on Earth. - I shall fear only God. - I shall not bear ill will toward anyone. - I shall not submit to injustice from anyone. - I shall conquer untruth by truth. And in resisting untruth, I shall put up with all suffering.”","bravery,god,goodness,humanity,justice,kindness,peace,suffering",God
23,"“I have faith that God will show you the answer. But you have to understand that sometimes it takes a while to be able to recognize what God wants you to do. That's how it often is. God's voice is usually nothing more than a whisper, and you have to listen very carefully to hear it. But other times, in those rarest of moments, the answer is obvious and rings as loud as a church bell.”",god,God
24,"“He died not for men, but for each man. If each man had been the only man made, He would have done no less.”","god,religion",God
25,"“I believe in God, but not as one thing, not as an old man in the sky. I believe that what people call God is something in all of us. I believe that what Jesus and Mohammed and Buddha and all the rest said was right. It's just that the translations have gone wrong.”","god,organized-religion,religion,spirituality",God
26,"“God does not play dice with the universe; He plays an ineffable game of His own devising, which might be compared, from the perspective of any of the other players [i.e. everybody], to being involved in an obscure and complex variant of poker in a pitch-dark room, with blank cards, for infinite stakes, with a Dealer who won't tell you the rules, and who smiles all the time.”","einstein,gaiman,god,humor",God
27,"“I sought to hear the voice of God and climbed the topmost steeple, but God declared: ""Go down again - I dwell among the people.”","god,inspirational,love",God
28,"“Parents are like God because you wanna know they're out there, and you want them to think well of you, but you really only call when you need something.”","family,god,parents",God
29,“I talk to God but the sky is empty.”,"doubt,faith,god,prayer",God
30,"“Is God willing to prevent evil, but not able? Then he is not omnipotent. Is he able, but not willing? Then he is malevolent. Is he both able and willing? Then whence cometh evil? Is he neither able nor willing? Then why call him God?”","atheism,god,religion",God
31,“God save us from people who mean well.”,"god,good-intentions,humanity,religion",God
32,"“Thou hast made us for thyself, O Lord, and our heart is restless until it finds its rest in thee.”","christ,christianity,desire,god,heart,jesus,longing,peace,religion,rest,restlessness",God
33,“That wasn't any act of God. That was an act of pure human fuckery.”,"god,humor",God
34,“Sometimes God allows what he hates to accomplish what he loves.”,"faith,god,inspirational,love",God
35,“No woman wants to be in submission to a man who isn't in submission to God!”,"christian,god,love,marriage,men,religion,spirituality,women",God
36,“You can safely assume you've created God in your own image when it turns out that God hates all the same people you do.”,"christianity,fundamentalism,god,humor,idolatry,misattributed-to-anne-lamott,spirituality,truth",God
37,"“The God of the Old Testament is arguably the most unpleasant character in all fiction: jealous and proud of it; a petty, unjust, unforgiving control-freak; a vindictive, bloodthirsty ethnic cleanser; a misogynistic, homophobic, racist, infanticidal, genocidal, filicidal, pestilential, megalomaniacal, sadomasochistic, capriciously malevolent bully.”","bible,christianity,god,organized-religion,religion,yahweh",God
38,“I think it pisses God off if you walk by the color purple in a field somewhere and don't notice it.”,"color,god,purple,religion",God
39,"“When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left, and could say, 'I used everything you gave me.”","afterlife,god,heaven,judgement,talent",God
40,"“He - and if there is a God, I am convinced he is a he, because no woman could or would ever fuck things up this badly.”","equality,feminism,feminist,george-carlin,god,men-and-women,religion",God
41,"“There are people in the world so hungry, that God cannot appear to them except in the form of bread.”","bread,food,god,humanity,hunger,poverty,religion",God
42,"“I don't stand for black man's side, I don't stand for white man's side, I stand for God's side.”","black,god,men,music,side",God
43,"“She glared at me like she was about to punch me, but then she did something that surprised me even more. She kissed me.""Be careful seaweed brain."" She said putting on her invisible cap and disappearing.I probably would have sat there all day, trying to remember my name, but then the sea demons came.”","demons,god,gods,greek,kiss",God
44,"“If you want to make God laugh, tell him about your plans.”","god,humour,life",God
45,"“Above all else, guard your heart for it affects everything else you do.”","bible,god,inspirational,religion",God
46,“God is silent. Now if only man would shut up.”,"god,humor,mankind,silence",God
47,“The great thing to remember is that though our feelings come and go God's love for us does not.”,"god,inspirational,love",God
