,Quote,Genre,Category
0,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,"attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe",Humor
1,"“So many books, so little time.”","books,humor",Humor
2,"“You only live once, but if you do it right, once is enough.”","humor,life",Humor
3,"“Insanity is doing the same thing, over and over again, but expecting different results.”","humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein",Humor
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","aliteracy,books,classic,humor",Humor
5,"“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”","animals,books,dogs,friends,humor",Humor
6,"“A day without sunshine is like, you know, night.”","humor,obvious,simile",Humor
7,“Never put off till tomorrow what may be done day after tomorrow just as well.”,"humor,procrastination",Humor
8,“I love deadlines. I love the whooshing noise they make as they go by.”,"deadlines,humor,humour,work,writing",Humor
9,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,"humor,religion",Humor
10,"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”","cats,humor,women",Humor
11,“All you need is love. But a little chocolate now and then doesn't hurt.”,"chocolate,food,humor",Humor
12,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,humor,Humor
13,“I'm not afraid of death; I just don't want to be there when it happens.”,"death,fear,humor,life",Humor
14,"“Whenever I feel the need to exercise, I lie down until it goes away.”","exercise,humor,laziness,misattributed-to-hutchins",Humor
15,"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”","books,humor,reading,television",Humor
16,“The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.”,"humor,scifi",Humor
17,"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”","humor,nerdfighters",Humor
18,“Some people never go crazy. What truly horrible lives they must lead.”,humor,Humor
19,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","humor,open-mind,thinking",Humor
20,“Reality continues to ruin my life.”,"calvin-and-hobbes,humor,life",Humor
21,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"humor,insanity,lies,lying,self-indulgence,truth",Humor
22,“Go to heaven for the climate and hell for the company.”,"humor,misattributed-mark-twain,philosophy,theology",Humor
23,“I love mankind ... it's people I can't stand!!”,"humor,mankind,people",Humor
24,“I am free of all prejudice. I hate everyone equally. ”,"humor,sinister",Humor
25,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",humor,Humor
26,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","humor,love,romantic,women",Humor
27,"“It’s no use going back to yesterday, because I was a different person then.”","alice,humor,inspirational,philosophy-of-life,psychological,yesterday",Humor
28,“Be nice to nerds. You may end up working for them. We all could.”,"humor,misattributed-to-bill-gates,nerd,nerds,work",Humor
29,"“Do you remember me telling you we are practicing non-verbal spells, Potter?""""Yes,"" said Harry stiffly.""Yes, sir.""""There's no need to call me ""sir"" Professor.""The words had escaped him before he knew what he was saying.”","humor,rebellion,sarcasm",Humor
30,"“Jesus!"" Luke exclaimed.""Actually, it's just me,"" said Simon. ""Although I've been told the resemblance is startling.”","humor,jace-wayland,simon-lewis",Humor
31,“Be careful about reading health books. Some fine day you'll die of a misprint.”,"books,health,humor,misattributed-mark-twain,misprints",Humor
32,“Have you ever noticed how ‘What the hell’ is always the right decision to make?”,"humor,misattributed-to-marilyn-monroe,philosophy",Humor
33,“Creativity is knowing how to hide your sources”,"creativity,humor,misattributed-to-einstein,paraphrased",Humor
34,"“Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.”","fate,humor,simile",Humor
35,"“The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”","humor,insanity",Humor
36,"“I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead.""""Well,"" said Luke, ""you're doing a fantastic job.”","clary-fray,demons,growing-up,humor,jace-wayland,luke,teenager",Humor
37,"“Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.”","humor,proverb",Humor
38,"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”","god,humor,life",Humor
39,"“This life’s hard, but it’s harder if you’re stupid.”","humor,life,misattributed-john-wayne",Humor
40,“I refuse to answer that question on the grounds that I don't know the answer”,"attributed-no-source,humor,misattributed-douglas-adams,wit",Humor
41,“Never memorize something that you can look up.”,"humor,science",Humor
42,"“Is it true that you shouted at Professor Umbridge?""""Yes.""""You called her a liar?""""Yes.""""You told her He Who Must Not Be Named is back?""""Yes.""""Have a biscuit, Potter.”","biscuit,humor,rebellion",Humor
43,"“Mr. Moony presents his compliments to Professor Snape, and begs him to keep his abnormally large nose out of other people's business.Mr. Prongs agrees with Mr. Moony, and would like to add that Professor Snape is an ugly git.Mr. Padfoot would like to register his astonishment that an idiot like that ever became a professor.Mr. Wormtail bids Professor Snape good day, and advises him to wash his hair, the slimeball.”","harry-potter,humor,james-potter,remus-lupin,sirius-black,snape,wormtail",Humor
44,“He can run faster than Severus Snape confronted with shampoo.”,"humor,shampoo",Humor
45,"“When you're in jail, a good friend will be trying to bail you out. A best friend will be in the cell next to you saying, 'Damn, that was fun'.”","friends,humor,jail",Humor
46,"“Some humans would do anything to see if it was possible to do it. If you put a large switch in some cave somewhere, with a sign on it saying 'End-of-the-World Switch. PLEASE DO NOT TOUCH', the paint wouldn't even have time to dry.”",humor,Humor
47,“When you are courting a nice girl an hour seems like a second. When you sit on a red-hot cinder a second seems like an hour. That's relativity.”,humor,Humor
48,“There's a fine line between genius and insanity. I have erased this line.”,"genius,humor,insanity",Humor
49,"“Two wrongs don't make a right, but they make a good excuse.”","humor,inspirational",Humor
50,"“Death's got an Invisibility Cloak?"" Harry interrupted again.""So he can sneak up on people,"" said Ron. ""Sometimes he gets bored of running at them, flapping his arms and shrieking...”","death,humor,sarcasm",Humor
51,“Substitute 'damn' every time you're inclined to write 'very;' your editor will delete it and the writing will be just as it should be.”,"humor,writing",Humor
52,"“You know the world is going crazy when the best rapper is a white guy, the best golfer is a black guy, the tallest guy in the NBA is Chinese, the Swiss hold the America's Cup, France is accusing the U.S. of arrogance, Germany doesn't want to go to war, and the three most powerful men in America are named ""Bush"", ""Dick"", and ""Colin."" Need I say more?”","comedy,everyday-life,funny,humor,observational-comedy",Humor
53,“It means 'Shadowhunters: Looking Better in Black Than the Widows of our Enemies Since 1234'.”,"humor,jace-wayland,sarcasm",Humor
54,"“Let us find the dam snack bar,"" Zoe said. ""We should eat while we can.""Grover cracked a smile. ""The dam snack bar?""Zoe blinked. ""Yes. What is funny?""""Nothing,"" Grover said, trying to keep a straight face. ""I could use some dam french fries.""Even Thalia smiled at that. ""And I need to use the dam restroom.""...I started cracking up, and Thalia and Grover joined in, while Zoe just looked at me. ""I do not understand.""""I want to use the dam water fountain,"" Grover said.""And..."" Thalia tried to catch her breath. ""I want to buy a dam t-shirt.”",humor,Humor
55,"“If the world were merely seductive, that would be easy. If it were merely challenging, that would be no problem. But I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.”","activism,humor,life,pleasure",Humor
56,"“Reader, suppose you were an idiot. And suppose you were a member of Congress. But I repeat myself.”","humor,politics",Humor
57,“Going to church doesn’t make you a Christian any more than going to a garage makes you an automobile.”,"automobile,car,funny,humor,religious",Humor
58,"“I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal.”","friends,humor,people",Humor
59,“The planet is fine. The people are fucked.”,"funny,humanity,humor",Humor
60,"“Do you remember back at the hotel when you promised that if we lived, you’d get dressed up in a nurse’s outfit and give me a sponge bath?"" asked Jace.""It was Simon who promised you the sponge bath.""""As soon as I’m back on my feet, handsome,"" said Simon.""I knew we should have left you a rat.”","bath,clary-fray,humor,jace-wayland,simon-lewis",Humor
61,"“If a cluttered desk is a sign of a cluttered mind, of what, then, is an empty desk a sign?”","human,humor,misattributed-einstein,philosophy,stupidity",Humor
62,“I like work: it fascinates me. I can sit and look at it for hours.”,"humor,work",Humor
63,"“Malachi scowled. ""I don't remember the Clave inviting you into the Glass City, Magnus Bane.""""They didn't,"" Magnus said. ""Your wards are down.""""Really?"" the Consul's voice dripped sarcasm. ""I hadn't noticed.""Magnus looked concerned. ""That's terrible. Someone should have told you."" He glanced at Luke. ""Tell him the wards are down.”","consul,humor,magnus-bane,sarcasm",Humor
64,"“There are two motives for reading a book; one, that you enjoy it; the other, that you can boast about it.”","books,humor",Humor
65,"“When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, ""Why god? Why me?"" and the thundering voice of God answered, There's just something about you that pisses me off.”","god,humor,religion",Humor
66,“THE FIRST TEN LIES THEY TELL YOU IN HIGH SCHOOL 1. We are here to help you. 2. You will have time to get to your class before the bell rings. 3. The dress code will be enforced. 4. No smoking is allowed on school grounds. 5. Our football team will win the championship this year. 6. We expect more of you here. 7. Guidance counselors are always available to listen. 8. Your schedule was created with you in mind. 9. Your locker combination is private. 10. These will be the years you look back on fondly. TEN MORE LIES THEY TELL YOU IN HIGH SCHOOL 1. You will use algebra in your adult lives. 2. Driving to school is a privilege that can be taken away. 3. Students must stay on campus during lunch. 4. The new text books will arrive any day now. 5. Colleges care more about you than your SAT scores. 6. We are enforcing the dress code. 7. We will figure out how to turn off the heat soon. 8. Our bus drivers are highly trained professionals. 9. There is nothing wrong with summer school. 10. We want to hear what you have to say.”,"humor,school",Humor
67,"“There is a theory which states that if ever anyone discovers exactly what the Universe is for and why it is here, it will instantly disappear and be replaced by something even more bizarre and inexplicable. There is another theory which states that this has already happened.”",humor,Humor
68,"“It is hard enough to remember my opinions, without also remembering my reasons for them!”","humor,philosophy",Humor
69,"“I did not attend his funeral, but I sent a nice letter saying I approved of it.”","classic-insult,funeral,funny,humor",Humor
70,“Where is human nature so weak as in the bookstore?”,"books,humor",Humor
71,"“Well, I’m not kissing the mundane,"" said Jace. ""I’d rather stay down here and rot.""""Forever?"" said Simon. ""Forever’s an awfully long time.""Jace raised his eyebrows. ""I knew it,"" he said. ""You want to kiss me, don’t you?”","humor,jace-wayland,simon-lewis",Humor
72,"“If at first you don't succeed, try, try again. Then quit. No use being a damn fool about it.”","humor,success",Humor
73,“Never let your sense of morals prevent you from doing what is right.”,"humor,inspirational,philosophy,wisdom",Humor
74,"“What the hell is that?"" I laughed.""It's my fox hat.""""Your fox hat?""""Yeah, Pudge. My fox hat.""""Why are you wearing your fox hat?"" I asked.""Because no one can catch the motherfucking fox.”","funny,humor",Humor
75,“I generally avoid temptation unless I can't resist it.”,"humor,temptation",Humor
76,"“So please, oh please, we beg, we pray,Go throw your TV set away,And in its place you can installA lovely bookshelf on the wall.Then fill the shelves with lots of books.”","books,humor,television",Humor
77,“Happiness is a warm puppy.”,"animals,dogs,happiness,humor,puppies",Humor
78,“I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”,"humor,inspirational,life",Humor
79,"“I was gratified to be able to answer promptly, and I did. I said I didn’t know.”","humor,knowledge",Humor
80,"“I don't know the question, but sex is definitely the answer.”","humor,life,sex",Humor
81,"“Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.”","fantasy,humor",Humor
82,"“Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time! But He loves you. He loves you, and He needs money! He always needs money! He's all-powerful, all-perfect, all-knowing, and all-wise, somehow just can't handle money!”","atheism,humor,life,religion",Humor
83,"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”","death,humor,life",Humor
84,“I have great faith in fools - self-confidence my friends will call it.”,"faith,fool,humor,self-confidence,self-irony",Humor
85,"“That does it,"" said Jace. ""I'm going to get you a dictionary for Christmas this year.""""Why?"" Isabelle said.""So you can look up 'fun.' I'm not sure you know what it means.”","dictionary,fun,humor,isabelle-lightwood,jace-wayland",Humor
86,“Time flies like an arrow; fruit flies like a banana.”,"humor,misattributed-to-groucho-marx,time",Humor
87,“Stories of imagination tend to upset those without one.”,"fantasy,humor,imagination,literature,stories",Humor
88,"“I think God, in creating man, somewhat overestimated his ability.”","creation,god,humor,man",Humor
89,“Percy wouldn't notice a joke if it danced naked in front of him wearing one of Dobby's hats.”,humor,Humor
90,“Deadlines just aren't real to me until I'm staring one in the face.”,"deadlines,humor,procrastinate",Humor
91,“I never travel without my diary. One should always have something sensational to read in the train.”,"drama,humor,plays",Humor
92,“My tastes are simple: I am easily satisfied with the best.”,"humor,taste",Humor
93,"“You haven't got a letter on yours,"" George observed. ""I suppose she thinks you don't forget your name. But we're not stupid-we know we're called Gred and Forge.”",humor,Humor
94,"“The fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.”","humor,perspective,science",Humor
95,"“Love conquers all,"" Aphrodite promised. ""Look at Helen and Paris. Did they let anything come between them?""""Didn't they start the Trojan War and get thousands of people killed?""""Pfft. That's not the point. Follow your heart.”","humor,true-love",Humor
96,"“Happiness is having a large, loving, caring, close-knit family in another city.”","family,happiness,humor",Humor
97,"“I have something I need to tell you,"" he says. I run my fingers along the tendons in his hands and look back at him. ""I might be in love with you."" He smiles a little. ""I'm waiting until I'm sure to tell you, though.""""That's sensible of you,"" I say, smiling too. ""We should find some paper so you can make a list or a chart or something.""I feel his laughter against my side, his nose sliding along my jaw, his lips pressing my ear.""Maybe I'm already sure,"" he says, ""and I just don't want to frighten you.""I laugh a little. ""Then you should know better.""""Fine,"" he says. ""Then I love you.”","beatrice,divergent,humor,love,tobias",Humor
98,“There is nothing in the world so irresistibly contagious as laughter and good humor.”,"humor,laughter",Humor
99,"“Don't talk to me.""""Why not?""""Because I want to fix that in my memory for ever. Draco Malfoy, the amazing bouncing ferret...”","ferret-malfoy,harry-potter,humor,ron-weasley",Humor
100,"“You guessed? You must have been pretty sure, considering you could have killed me.""""I was ninety percent sure.""""I see,"" Clary said. There must have been something in her voice, because he turned to look at her. Her hand cracked across his face, a slap that rocked him back on his heels. He put his hands on his cheek, more in surprise than pain.""What the hell was that for?""""The other ten percent.”","humor,paranormal-romance",Humor
101,"“People say nothing is impossible, but I do nothing every day.”","humor,idleness,inspirational",Humor
102,"“Why are they all staring?"" demanded Albus as he and Rose craned around to look at the other students.""Don’t let it worry you,"" said Ron. ""It’s me. I’m extremely famous.”","albus-potter,fame,harry-potter,humor,ron-weasley",Humor
