,Quote,Genre,Category
0,“Time you enjoy wasting is not wasted time.”,"happiness,misattributed-john-lennon,procrastination,time",Time
1,"“I wish it need not have happened in my time,"" said Frodo.""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”","adventuring,death,time",Time
2,“There comes a time when the world gets quiet and the only thing left is your own heart. So you'd better learn the sound of it. Otherwise you'll never understand what it's saying.”,"just-litsen,sarah-dessen,time",Time
3,“Time flies like an arrow; fruit flies like a banana.”,"humor,misattributed-to-groucho-marx,time",Time
4,"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”","anger,grudge,happiness,happy,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,regret,time,worry",Time
5,"“It has been said, 'time heals all wounds.' I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens. But it is never gone.”","healing,pain,remembrance,scars,time",Time
6,“It is the time you have wasted for your rose that makes your rose so important.”,"caring,inspirational,love,roses,time",Time
7,“Books have a unique way of stopping time in a particular moment and saying: Let’s not forget this.”,"books,time",Time
8,“Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”,"character,class,common-sense,dignity,happiness,health,inner-peace,inspiration,inspirational,inspirational-quotes,integrity,life,life-quotes,love,manners,money,morals,patience,respect,time,trust",Time
9,“How did it get so late so soon?”,"afternoon,december,flewn,june,late,night,soon,time",Time
10,“Don't waste your time with explanations: people only hear what they want to hear.”,"attitude,explain,gossip,life,people,public-opinion,time,wisdom",Time
11,“Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin.”,"carpe-diem,future,past,present,time",Time
12,"“For what it’s worth: it’s never too late or, in my case, too early to be whoever you want to be. There’s no time limit, stop whenever you want. You can change or stay the same, there are no rules to this thing. We can make the best or the worst of it. I hope you make the best of it. And I hope you see things that startle you. I hope you feel things you never felt before. I hope you meet people with a different point of view. I hope you live a life you’re proud of. If you find that you’re not, I hope you have the courage to start all over again.”","benjamin-button,change,courage,time",Time
13,“You can have it all. Just not all at once.”,"dreams,life,time",Time
14,"“Don't spend time beating on a wall, hoping to transform it into a door. ”","failure,success,time",Time
15,"“Time doesn’t heal emotional pain, you need to learn how to let go.”","heal,inspiration,inspirational,inspirational-quotes,learning,let-go,letting-go,letting-go-of-the-past,life,life-quotes,pain,spiritual,time",Time
16,“Time is the longest distance between two places.”,"distance,time",Time
17,"“They say time heals all wounds, but that presumes the source of the grief is finite”","grief,healing,magnus-bane,time,will-herondale",Time
18,"“They always say time changes things, but you actually have to change them yourself.”","change,initiative,time",Time
19,"“They say I'm old-fashioned, and live in the past, but sometimes I think progress progresses too fast!”","life,time",Time
20,“A man who dares to waste one hour of time has not discovered the value of life.”,"dare,inspirational,life,science,time,value,waste",Time
21,“I sit beside the fire and think Of all that I have seenOf meadow flowers and butterfliesIn summers that have beenOf yellow leaves and gossamerIn autumns that there wereWith morning mist and silver sunAnd wind upon my hairI sit beside the fire and thinkOf how the world will beWhen winter comes without a spring That I shall ever seeFor still there are so many thingsThat I have never seenIn every wood in every springThere is a different greenI sit beside the fire and thinkOf people long agoAnd people that will see a worldThat I shall never knowBut all the while I sit and thinkOf times there were beforeI listen for returning feet And voices at the door”,"life,time",Time
22,“This is a new year. A new beginning. And things will change.”,"change,fresh-starts,new-beginnings,reinvention,time",Time
23,“Scars have the strange power to remind us that our past is real.”,"healing,injuries,memory,past,reality,scars,time",Time
24,"“Unfortunately, the clock is ticking, the hours are going by. The past increases, the future recedes. Possibilities decreasing, regrets mounting.”","clock,future,past,possibilities,ticking,time",Time
25,"“Here we are, trapped in the amber of the moment. There is no why.”","reason,time",Time
26,"“Time is a created thing. To say 'I don't have time,' is like saying, 'I don't want to.”",time,Time
27,“It's hard being left behind. (...) It's hard to be the one who stays.”,"being-left,love,time,waiting",Time
28,“Time is an illusion.”,"relativity,time",Time
29,"“It's being here now that's important. There's no past and there's no future. Time is a very misleading thing. All there is ever, is the now. We can gain experience from the past, but we can't relive it; and we can hope for the future, but we don't know if there is one.”","beatles,carpe-diem,future,past,present,time",Time
30,“The past is never dead. It's not even past.”,"past,time",Time
31,"“You may delay, but time will not.”","procrastination,time,time-quotes",Time
32,“Those who make the worst use of their time are the first to complain of its brevity.”,time,Time
33,“The timeless in you is aware of life's timelessness. And knows that yesterday is but today's memory and tomorrow is today's dream.”,"time,timelessness,today,tomorrow,yesterday",Time
34,“Time is a game played beautifully by children.”,"fragment-52,games,heraclitus,leisure,philosophy,play,time,wisdom",Time
35,“There's never enough time to do all the nothing you want.”,"idleness,time,wasting-time",Time
36,"“It’s dark now and I am very tired. I love you, always. Time is nothing.”","love,time",Time
37,“Being with you and not being with you is the only way I have to measure time.”,"love,time",Time
38,"“Sometimes I feel like if you just watch things, just sit still and let the world exist in front of you - sometimes I swear that just for a second time freezes and the world pauses in its tilt. Just for a second. And if you somehow found a way to live in that second, then you would live forever.”","delirium,forever,lena-holoway,live,time,world",Time
39,“One day spent with someone you love can change everything.”,"change,love,time",Time
40,“My past is everything I failed to be.”,"failure,past,self,time",Time
41,“How did it get so late so soon? It's night before it's afternoon. December is here before it's June. My goodness how the time has flewn. How did it get so late so soon?”,"late,soon,time",Time
42,"“It is by no means an irrational fancy that, in a future existence, we shall look upon what we think our present existence, as a dream.”","age,dark,dreaming,dreams,future,inspirational,past,time",Time
43,“The strongest of all warriors are these two — Time and Patience.”,"patience,time",Time
44,"“Time takes it all, whether you want it to or not.”","change,life,time",Time
45,"“Time is what we want most,but what we use worst.”","leader,time",Time
46,“The future is uncertain but the end is always near.”,"doom,future,time",Time
47,"“For a while"" is a phrase whose length can't be measured.At least by the person who's waiting.”","time,waiting",Time
48,“Muddy water is best cleared by leaving it alone.”,"process,time",Time
49,"“A man must dream a long time in order to act with grandeur, and dreaming is nursed in darkness.”","darkness,dreams,time",Time
50,“Spring passes and one remembers one's innocence.Summer passes and one remembers one's exuberance.Autumn passes and one remembers one's reverence.Winter passes and one remembers one's perseverance.”,"aging,autumn,fall,life,seasons,spring,summer,time,winter",Time
51,"“I have no faith in human perfectibility. I think that human exertion will have no appreciable effect upon humanity. Man is now only more active - not more happy - nor more wise, than he was 6000 years ago.”","happiness,human-nature,humanity,perfection,time",Time
52,"“There are memories that time does not erase... Forever does not make loss forgettable, only bearable.”","love,memories,sacrifice,time",Time
53,“As if you could kill time without injuring eternity.”,"eternity,humor,time,wisdom",Time
54,“Three o'clock is always too late or too early for anything you want to do.”,time,Time
55,“Time can be a greedy thing-sometimes it steals the details for itself.”,time,Time
56,"“All photographs are memento mori. To take a photograph is to participate in another person’s (or thing’s) mortality, vulnerability, mutability. Precisely by slicing out this moment and freezing it, all photographs testify to time’s relentless melt.”","photography,time",Time
57,"“There are moments when I wish I could roll back the clock and take all the sadness away, but I have the feeling that if I did, the joy would be gone as well.”","joy,memories,sadness,time",Time
58,"“There should be a statute of limitation on grief. A rulebook that says it is all right to wake up crying, but only for a month. That after 42 days you will no longer turn with your heart racing, certain you have heard her call out your name. That there will be no fine imposed if you feel the need to clean out her desk; take down her artwork from the refrigerator; turn over a school portrait as you pass - if only because it cuts you fresh again to see it. That it's okay to measure the time she has been gone, the way we once measured her birthdays.”","grief,limitation,time",Time
59,"“Time is a slippery thing: lose hold of it once, and its string might sail out of your hands forever.”",time,Time
60,“I'm not much but I'm all I have.”,"loneliness,optimism,responsibility,time",Time
61,"“The future is something which everyone reaches at the rate of sixty minutes an hour, whatever he does, whoever he is.”","life,time",Time
62,"“Time doesn't take away from friendship, nor does separation.”","friendship,seperation,time",Time
63,“Time is what keeps everything from happening at once.”,time,Time
64,"“Time isn’t precious at all, because it is an illusion. What you perceive as precious is not time but the one point that is out of time: the Now. That is precious indeed. The more you are focused on time—past and future—the more you miss the Now, the most precious thing there is.”","being-present,time",Time
65,"“Until you value yourself, you won't value your time. Until you value your time, you will not do anything with it.”","self-esteem,time",Time
66,“And therein lies the whole of man's plight. Human time does not turn in a circle; it runs ahead in a straight line. That is why man cannot be happy: happiness is the longing for repetition.”,"happiness,life,man,plight,time",Time
67,“The future came and went in the mildly discouraging way that futures do.”,"future,passage-of-time,time",Time
68,"“The cost of a thing is the amount of what I will call life which is required to be exchanged for it, immediately or in the long run.”","cost,life,price,time,value",Time
69,“The three rules of the Librarians of Time and Space are: 1) Silence; 2) Books must be returned no later than the last date shown; and 3) Do not interfere with the nature of causality.”,"librarians,libraries,space,time",Time
70,“There is more to life than simply increasing its speed.”,"appreciation,life,speed,time",Time
71,"“She wanted none of those days to end, and it was always with disappointment that she watched the darkness stride forward. ”","change,disappointment,night,time",Time
72,“Lost Time is never found again.”,"time,wisdom",Time
