,Quote,Genre,Category
0,"“The fool doth think he is wise, but the wise man knows himself to be a fool.”",wisdom,Wisdom
1,"“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”","misattributed-to-abraham-lincoln,misattributed-to-mark-twain,remaining-silent,wisdom",Wisdom
2,"“Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”","individuality,majority,minority,pause,reflect,wisdom",Wisdom
3,"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”","desire,emotion,friendship,honesty,imagination,individuality,life,love,passion,reality,relationships,romance,truth,wisdom,wise-words",Wisdom
4,“Knowing yourself is the beginning of all wisdom.”,"introspection,self-discovery,wisdom",Wisdom
5,“The only true wisdom is in knowing you know nothing.”,"knowledge,wisdom",Wisdom
6,“The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.”,"life,science,wisdom",Wisdom
7,"“Count your age by friends, not years. Count your life by smiles, not tears.”","happiness,timelessness,wisdom",Wisdom
8,"“Hold fast to dreams,For if dreams dieLife is a broken-winged bird,That cannot fly.”","dreams,hope,inspiration,knowledge,wisdom",Wisdom
9,"“In a good bookroom you feel in some mysterious way that you are absorbing the wisdom contained in all the books through your skin, without even opening them.”","bookroom,books,libraries,wisdom",Wisdom
10,“May you live every day of your life.”,"inspirational,life,philosophy,wisdom",Wisdom
11,“It is the mark of an educated mind to be able to entertain a thought without accepting it.”,wisdom,Wisdom
12,“Never laugh at live dragons.”,"dragons,wisdom",Wisdom
13,"“The secret of life, though, is to fall seven times and to get up eight times.”",wisdom,Wisdom
14,“Any fool can know. The point is to understand.”,"knowledge,learning,understanding,wisdom",Wisdom
15,"“If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.”","alive,congratulations,hope,humanity,inspiration,inspirational,inspire,life,poetry,smile,wisdom",Wisdom
16,"“There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life. "" Live, then, and be happy, beloved children of my heart, and never forget, that until the day God will deign to reveal the future to man, all human wisdom is contained in these two words, 'Wait and Hope.”","hope,inspirational,wisdom",Wisdom
17,"“The best index to a person's character is how he treats people who can't do him any good, and how he treats people who can't fight back.”","character,life,wisdom",Wisdom
18,“Think before you speak. Read before you think.”,"advice-for-daily-living,books,reader,reading,speaking,thinking,wisdom",Wisdom
19,“Never let your sense of morals prevent you from doing what is right.”,"humor,inspirational,philosophy,wisdom",Wisdom
20,“The unexamined life is not worth living.”,"inspiration,truth,wisdom",Wisdom
